                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1603,                 3.3741,                 1.5165,                0.53052,                0.58375,                0.55179,                0.37025,                  1.132,                 2.5322,                 1.5179,              0.0002038,              0.0002038,              0.0002038
                      2,                0.95854,                  1.436,                 1.3084,                0.59761,                0.57179,                0.61243,                0.41209,                 1.1749,                 2.3069,                 1.6359,             0.00040806,             0.00040806,             0.00040806
                      3,                 1.0061,                 1.2865,                 1.3294,                0.67667,                0.37944,                0.43878,                0.25277,                 1.5102,                 2.7309,                 1.9515,             0.00060819,             0.00060819,             0.00060819
                      4,                  1.013,                 1.2283,                 1.3452,                0.52149,                  0.591,                0.55674,                0.33428,                 1.4296,                 2.2138,                 1.8172,             0.00060644,             0.00060644,             0.00060644
                      5,                0.98196,                 1.1261,                 1.3242,                0.61109,                0.63274,                0.64137,                 0.4067,                  1.271,                 2.1544,                 1.6912,             0.00060025,             0.00060025,             0.00060025
                      6,                0.95386,                 1.0349,                 1.2979,                0.67045,                0.68005,                0.70169,                0.46689,                  1.244,                 1.3566,                 1.5892,             0.00059406,             0.00059406,             0.00059406
                      7,                0.93092,                0.99635,                 1.2809,                0.74054,                0.69983,                0.74272,                0.49714,                 1.1845,                 1.2193,                 1.5349,             0.00058787,             0.00058787,             0.00058787
                      8,                0.92457,                0.97845,                 1.2725,                0.76372,                0.71564,                0.77371,                0.53837,                 1.0909,                  1.223,                 1.4498,             0.00058169,             0.00058169,             0.00058169
                      9,                0.90186,                0.92895,                 1.2587,                0.77222,                0.73617,                0.78885,                  0.543,                 1.0665,                 1.2216,                 1.4715,              0.0005755,              0.0005755,              0.0005755
                     10,                 0.8833,                0.88934,                  1.254,                0.82347,                0.75126,                0.82387,                0.60017,                0.96863,                0.93808,                  1.354,             0.00056931,             0.00056931,             0.00056931
                     11,                0.86059,                0.87198,                 1.2322,                 0.8031,                 0.7735,                 0.8238,                0.59895,                0.97492,                0.96547,                 1.3802,             0.00056313,             0.00056313,             0.00056313
                     12,                0.85043,                0.84074,                 1.2337,                0.76063,                0.77132,                0.80345,                0.58997,                0.94986,                 1.0046,                 1.3588,             0.00055694,             0.00055694,             0.00055694
                     13,                0.85162,                0.82987,                 1.2236,                0.79913,                0.76879,                0.81011,                0.58832,                0.98802,                 1.0069,                 1.3785,             0.00055075,             0.00055075,             0.00055075
                     14,                0.83657,                 0.8175,                 1.2241,                0.75462,                0.79191,                0.80772,                0.59054,                0.98554,                0.97367,                 1.3705,             0.00054456,             0.00054456,             0.00054456
                     15,                0.83711,                0.79166,                 1.2141,                0.77748,                 0.8052,                0.83568,                 0.6285,                 0.9247,                0.93814,                 1.3006,             0.00053838,             0.00053838,             0.00053838
                     16,                0.82523,                0.78073,                 1.2116,                0.81843,                0.77046,                0.83315,                0.62351,                0.95755,                0.94743,                 1.3488,             0.00053219,             0.00053219,             0.00053219
                     17,                0.81142,                0.76025,                 1.1968,                0.82415,                0.81466,                0.84628,                 0.6245,                0.95126,                0.89892,                 1.3539,               0.000526,               0.000526,               0.000526
                     18,                0.80331,                0.74312,                 1.1906,                0.84335,                0.80379,                0.85351,                0.64421,                0.92259,                0.91347,                 1.3083,             0.00051981,             0.00051981,             0.00051981
                     19,                0.79315,                 0.7398,                 1.1847,                0.83022,                0.81131,                0.85781,                0.64824,                0.90388,                0.87056,                 1.3138,             0.00051363,             0.00051363,             0.00051363
                     20,                0.78739,                0.72602,                 1.1776,                  0.848,                0.82803,                0.87477,                0.65853,                0.91522,                0.82436,                 1.3081,             0.00050744,             0.00050744,             0.00050744
                     21,                0.78057,                0.71956,                 1.1711,                0.82943,                0.84628,                 0.8673,                0.66327,                0.86907,                0.80686,                 1.2812,             0.00050125,             0.00050125,             0.00050125
                     22,                0.77199,                0.69898,                 1.1685,                0.79912,                0.81219,                 0.8548,                0.64443,                0.89241,                0.89869,                 1.2996,             0.00049506,             0.00049506,             0.00049506
                     23,                 0.7706,                0.69438,                 1.1734,                0.85172,                0.81987,                0.87329,                0.66706,                0.85451,                0.83473,                 1.2959,             0.00048888,             0.00048888,             0.00048888
                     24,                0.77536,                0.67767,                 1.1754,                 0.8031,                0.83418,                0.85966,                  0.659,                0.87212,                0.85973,                 1.2791,             0.00048269,             0.00048269,             0.00048269
                     25,                0.76929,                0.68205,                 1.1728,                0.85128,                0.82489,                0.87516,                 0.6733,                0.87796,                0.82812,                  1.261,              0.0004765,              0.0004765,              0.0004765
                     26,                0.75421,                0.65925,                 1.1593,                0.88224,                0.83001,                0.88937,                0.68825,                0.85837,                0.80136,                 1.2623,             0.00047031,             0.00047031,             0.00047031
                     27,                0.75255,                0.66152,                 1.1637,                 0.8652,                0.83072,                0.88139,                0.68176,                0.84237,                0.77574,                 1.2423,             0.00046413,             0.00046413,             0.00046413
                     28,                 0.7444,                0.63931,                 1.1558,                0.84885,                0.84889,                0.88441,                0.68432,                0.85034,                0.78609,                 1.2613,             0.00045794,             0.00045794,             0.00045794
                     29,                0.74702,                0.63771,                 1.1528,                0.85112,                0.84117,                0.88232,                 0.6919,                0.83657,                 0.8078,                 1.2368,             0.00045175,             0.00045175,             0.00045175
                     30,                0.74351,                0.62408,                  1.144,                0.87036,                0.85005,                 0.8885,                0.70044,                0.83057,                0.74677,                 1.2349,             0.00044556,             0.00044556,             0.00044556
                     31,                0.73091,                0.62414,                 1.1361,                0.87517,                0.84487,                0.88883,                0.70227,                0.81319,                0.72089,                 1.2358,             0.00043937,             0.00043937,             0.00043937
                     32,                0.72701,                 0.6071,                 1.1429,                0.82981,                0.85868,                0.87722,                0.69079,                 0.8146,                0.77132,                 1.2441,             0.00043319,             0.00043319,             0.00043319
                     33,                0.71599,                0.60839,                 1.1288,                0.85002,                0.84254,                0.88093,                0.68463,                0.83192,                0.76358,                 1.2403,               0.000427,               0.000427,               0.000427
                     34,                0.71436,                0.59705,                 1.1309,                0.86939,                0.84555,                0.89258,                0.71061,                 0.8146,                0.78502,                  1.222,             0.00042081,             0.00042081,             0.00042081
                     35,                0.70387,                0.58793,                 1.1245,                0.85987,                0.83769,                0.88074,                0.68564,                0.83815,                0.75605,                 1.2416,             0.00041462,             0.00041462,             0.00041462
                     36,                0.71026,                0.57869,                 1.1216,                0.88073,                0.84399,                0.88899,                0.70583,                0.79754,                0.71852,                 1.2261,             0.00040844,             0.00040844,             0.00040844
                     37,                0.70725,                0.57291,                 1.1253,                0.88255,                0.86893,                0.89665,                0.70631,                0.79513,                0.70443,                 1.2074,             0.00040225,             0.00040225,             0.00040225
                     38,                0.69535,                 0.5622,                 1.1175,                0.87447,                0.86136,                0.89593,                0.71521,                0.79715,                0.71738,                 1.2223,             0.00039606,             0.00039606,             0.00039606
                     39,                0.68452,                0.56921,                 1.1133,                0.87869,                 0.8469,                0.88954,                0.70406,                0.80378,                0.76445,                  1.223,             0.00038988,             0.00038988,             0.00038988
                     40,                0.69955,                0.57197,                 1.1245,                0.90541,                  0.847,                0.89953,                0.71751,                0.77987,                0.72243,                  1.196,             0.00038369,             0.00038369,             0.00038369
